Table S14. Metadata of lichen-associated genomes used to find signatures of Starship horizontal transfer amongst lichen symbionts.								
Genome ID	Accession ID	Species	Genus	Class	Lifestyle	Host	Assembly Release Date	WGS project accession
cladonia.sp..1	GCA_937857425.1	Cladonia_sp.	Cladonia	Lecanoromycetes	Lichen-forming	N/A	1/12/23	CALHCZ01
cladonia.sp..10	GCA_937857195.1	Cladonia_sp.	Cladonia	Lecanoromycetes	Lichen-forming	N/A	1/12/23	CALHCT01
cladonia.sp..11	GCA_937857275.1	Cladonia_sp.	Cladonia	Lecanoromycetes	Lichen-forming	N/A	1/12/23	CALAOP01
cladonia.sp..2	GCA_937857405.1	Cladonia_sp.	Cladonia	Lecanoromycetes	Lichen-forming	N/A	1/12/23	CALAON01
cladonia.sp..3	GCA_937857105.1	Cladonia_sp.	Cladonia	Lecanoromycetes	Lichen-forming	N/A	1/12/23	CAKZWY01
cladonia.sp..4	GCA_937857955.1	Cladonia_sp.	Cladonia	Lecanoromycetes	Lichen-forming	N/A	1/12/23	CALEEM01
cladonia.sp..5	GCA_937857855.1	Cladonia_sp.	Cladonia	Lecanoromycetes	Lichen-forming	N/A	1/12/23	CALEEO01
cladonia.sp..6	GCA_963971245.1	Cladonia_sp.	Cladonia	Lecanoromycetes	Lichen-forming	N/A	3/2/24	
cladonia.sp..7	GCA_963971275.1	Cladonia_sp.	Cladonia	Lecanoromycetes	Lichen-forming	N/A	3/4/24	CAXARJ01
cladonia.sp..8	GCA_937857205.1	Cladonia_sp.	Cladonia	Lecanoromycetes	Lichen-forming	N/A	1/12/23	CALAOO01
cladonia.sp..9	GCA_937857785.1	Cladonia_sp.	Cladonia	Lecanoromycetes	Lichen-forming	N/A	1/12/23	CALHCX01
cladonia.squamosa.1	GCA_947623385.2	Cladonia_squamosa	Cladonia	Lecanoromycetes	Lichen-forming	N/A	5/13/23	CANQGY02
cladonia.squamosa.2	GCA_947623575.2	Cladonia_squamosa	Cladonia	Lecanoromycetes	Lichen-forming	N/A	5/13/23	CANQGX02
cladonia.squamosa.3	GCA_964256895.1	Cladonia_squamosa	Cladonia	Lecanoromycetes	Lichen-forming	N/A	9/21/24	CAXVCN01
cladonia.squamosa.4	GCA_964255015.1	Cladonia_squamosa	Cladonia	Lecanoromycetes	Lichen-forming	N/A	9/21/24	CAXUUU01
cladonia.stellaris.1	GCA_040955005.1	Cladonia_stellaris	Cladonia	Lecanoromycetes	Lichen-forming	N/A	7/30/24	JBECUK01
cladonia.stellaris.2	GCA_040955015.1	Cladonia_stellaris	Cladonia	Lecanoromycetes	Lichen-forming	N/A	7/30/24	JBECUJ01
cladonia.strepsilis.1	GCA_964254655.1	Cladonia_strepsilis	Cladonia	Lecanoromycetes	Lichen-forming	N/A	9/21/24	CAXUWX01
cladonia.subtenuis.1	GCA_964256865.1	Cladonia_subtenuis	Cladonia	Lecanoromycetes	Lichen-forming	N/A	9/21/24	CAXVCJ01
cladonia.uncialis.1	GCA_977014525.1	Cladonia_uncialis	Cladonia	Lecanoromycetes	Lichen-forming	N/A	11/8/25	CDRNKR01
cladonia.uncialis.2	GCA_977014875.1	Cladonia_uncialis	Cladonia	Lecanoromycetes	Lichen-forming	N/A	9/21/24	CAXUTX01
cladonia.uncialis.3	GCA_002927785.1	Cladonia_uncialis	Cladonia	Lecanoromycetes	Lichen-forming	N/A	2/14/18	NAPT01
cladonia.uncialis.4	GCA_964254785.1	Cladonia_uncialis	Cladonia	Lecanoromycetes	Lichen-forming	N/A	9/21/24	CAXUUO01
coccocarpia.palmicola.1	GCA_964256785.1	Coccocarpia_palmicola	Coccocarpia	Lecanoromycetes	Lichen-forming	N/A	9/21/24	CAXVCG01
collema.furfuraceum.1	GCA_964256385.1	Collema_furfuraceum	Collema	Lecanoromycetes	Lichen-forming	N/A	9/21/24	CAXVBI01
cornicularia.normoerica.1	GCA_964254975.1	Cornicularia_normoerica	Cornicularia	Lecanoromycetes	Lichen-forming	N/A	9/21/24	CAXUXC01
cornicularia.normoerica.2	GCA_051942105.1	Cornicularia_normoerica	Cornicularia	Lecanoromycetes	Lichen-forming	N/A	8/12/25	JAVECU01
crespoa.crozalsiana.1	GCA_964256695.1	Crespoa_crozalsiana	Crespoa	Lecanoromycetes	Lichen-forming	N/A	9/21/24	CAXVCF01
cyanodermella.asteris.1	GCA_900618795.1	Cyanodermella_asteris	Cyanodermella	Lecanoromycetes	Endophyte	N/A	12/5/18	UYJD01
dendriscocaulon.intricatulum.1	GCA_964255535.1	Dendriscocaulon_intricatulum	Dendriscocaulon	Lecanoromycetes	Lichen-forming	N/A	9/21/24	CAXUXZ01
dermiscellum.oulocheilum.1	GCA_964257525.1	Dermiscellum_oulocheilum	Dermiscellum	Lecanoromycetes	Lichen-forming	N/A	9/21/24	CAXVFH01
dibaeis.baeomyces.1	GCA_964254685.1	Dibaeis_baeomyces	Dibaeis	Lecanoromycetes	Lichen-forming	N/A	9/21/24	CAXUTT01
dibaeis.sorediata.1	GCA_964255195.1	Dibaeis_sorediata	Dibaeis	Lecanoromycetes	Lichen-forming	N/A	9/21/24	CAXUVO01
dimelaena.oreina.1	GCA_964257695.1	Dimelaena_oreina	Dimelaena	Lecanoromycetes	Lichen-forming	N/A	9/21/24	CAXVFS01
diploschistes.diacapsis.1	GCA_023645945.1	Diploschistes_diacapsis	Diploschistes	Lecanoromycetes	Lichen-forming	N/A	6/2/22	JALAIB01
dirinaria.frostii.1	GCA_964257345.1	Dirinaria_frostii	Dirinaria	Lecanoromycetes	Lichen-forming	N/A	9/21/24	CAXVFC01
dirinaria.sp..1	GCA_051941275.1	Dirinaria_sp.	Dirinaria	Lecanoromycetes	Lichen-forming	N/A	8/12/25	JAVEBF01
dirinaria.sp..2	GCA_013315955.1	Dirinaria_sp.	Dirinaria	Lecanoromycetes	Lichen-forming	N/A	6/10/20	SZQE01
evernia.divaricata.1	GCA_964255455.1	Evernia_divaricata	Evernia	Lecanoromycetes	Lichen-forming	N/A	9/21/24	CAXUUW01
evernia.prunastri.1	GCA_003184365.1	Evernia_prunastri	Evernia	Lecanoromycetes	Lichen-forming	N/A	6/4/18	NKYR01
evernia.prunastri.2	GCA_964255555.1	Evernia_prunastri	Evernia	Lecanoromycetes	Lichen-forming	N/A	9/21/24	CAXUXW01
everniopsis.trulla.1	GCA_964257165.1	Everniopsis_trulla	Everniopsis	Lecanoromycetes	Lichen-forming	N/A	9/21/24	CAXVDL01
fissurina.insidiosa.1	GCA_964256455.1	Fissurina_insidiosa	Fissurina	Lecanoromycetes	Lichen-forming	N/A	9/21/24	CAXVBW01
flavocetraria.cucullata.1	GCA_964257225.1	Flavocetraria_cucullata	Flavocetraria	Lecanoromycetes	Lichen-forming	N/A	9/21/24	CAXVDQ01
flavoparmelia.baltimorensis.1	GCA_964254775.1	Flavoparmelia_baltimorensis	Flavoparmelia	Lecanoromycetes	Lichen-forming	N/A	9/21/24	CAXUWQ01
flavoplaca.austrocitrina.1	GCA_051942045.1	Flavoplaca_austrocitrina	Flavoplaca	Lecanoromycetes	Lichen-forming	N/A	8/12/25	JAVEBJ01
flavoplaca.citrina.1	GCA_051941225.1	Flavoplaca_citrina	Flavoplaca	Lecanoromycetes	Lichen-forming	N/A	8/12/25	JAVEBH01
flavoplaca.flavocitrina.1	GCA_051942005.1	Flavoplaca_flavocitrina	Flavoplaca	Lecanoromycetes	Lichen-forming	N/A	8/12/25	JAVEBO01
flavoplaca.limonia.1	GCA_051942465.1	Flavoplaca_limonia	Flavoplaca	Lecanoromycetes	Lichen-forming	N/A	8/12/25	JAVEBZ01
flavoplaca.marina.1	GCA_965225635.1	Flavoplaca_marina	Flavoplaca	Lecanoromycetes	Lichen-forming	N/A	3/28/25	CBDDCU01
flavoplaca.marina.2	GCA_965226325.1	Flavoplaca_marina	Flavoplaca	Lecanoromycetes	Lichen-forming	N/A	3/28/25	CBDDFF01
flavoplaca.navasiana.1	GCA_051941985.1	Flavoplaca_navasiana	Flavoplaca	Lecanoromycetes	Lichen-forming	N/A	8/12/25	JAVEBN01
flavoplaca.navasiana.2	GCA_051942405.1	Flavoplaca_navasiana	Flavoplaca	Lecanoromycetes	Lichen-forming	N/A	8/12/25	JAVECD01
flavoplaca.oasis.1	GCA_023646635.1	Flavoplaca_oasis	Flavoplaca	Lecanoromycetes	Lichen-forming	N/A	6/2/22	JALAIS01
flavoplaca.sp..1	GCA_052059015.1	Flavoplaca_sp.	Flavoplaca	Lecanoromycetes	Lichen-forming	N/A	8/15/25	JAVEBI01
flavopunctelia.flaventior.1	GCA_964257575.1	Flavopunctelia_flaventior	Flavopunctelia	Lecanoromycetes	Lichen-forming	N/A	9/21/24	CAXVGB01
fulgogasparrea.decipioides.1	GCA_051941625.1	Fulgogasparrea_decipioides	Fulgogasparrea	Lecanoromycetes	Lichen-forming	N/A	8/12/25	JAVEAO01
fuscopannaria.leucosticta.1	GCA_964256325.1	Fuscopannaria_leucosticta	Fuscopannaria	Lecanoromycetes	Lichen-forming	N/A	9/21/24	CAXVAS01
gallowayella.concinna.1	GCA_051941645.1	Gallowayella_concinna	Gallowayella	Lecanoromycetes	Lichen-forming	N/A	8/12/25	JAVEAL01
gallowayella.fulva.1	GCA_023646365.1	Gallowayella_fulva	Gallowayella	Lecanoromycetes	Lichen-forming	N/A	6/2/22	JALAIN01
gallowayella.weberi.1	GCA_051941305.1	Gallowayella_weberi	Gallowayella	Lecanoromycetes	Lichen-forming	N/A	8/12/25	JAVEBD01
gallowayella.weberi.2	GCA_051941295.1	Gallowayella_weberi	Gallowayella	Lecanoromycetes	Lichen-forming	N/A	8/12/25	JAVEBE01
gomphillus.americanus.1	GCA_905337335.1	Gomphillus_americanus	Gomphillus	Lecanoromycetes	Lichen-forming	N/A	4/26/18	PEKF01
gomphillus.americanus.2	GCA_964255845.1	Gomphillus_americanus	Gomphillus	Lecanoromycetes	Lichen-forming	N/A	9/21/24	CAXUZW01
gomphillus.calycioides.1	GCA_964255765.1	Gomphillus_calycioides	Gomphillus	Lecanoromycetes	Lichen-forming	N/A	9/21/24	CAXUYI01
gyalecta.farlowii.1	GCA_964256515.1	Gyalecta_farlowii	Gyalecta	Lecanoromycetes	Lichen-forming	N/A	9/21/24	CAXVAY01
gyalolechia.ehrenbergii.1	GCA_023646125.1	Gyalolechia_ehrenbergii	Gyalolechia	Lecanoromycetes	Lichen-forming	N/A	6/2/22	JALAIJ01
gyalolechia.fulgens.1	GCA_051942345.1	Gyalolechia_fulgens	Gyalolechia	Lecanoromycetes	Lichen-forming	N/A	8/12/25	JAVECG01
