Orthogroup	Xanthoria_calcicola_GTX0491	Xanthoria_parietina_SAMEA111342678
OG0000123	XANCAGTX0491_009929-T1	XANPAOZ2100_008656-T1
OG0000125	XANCAGTX0491_006098-T1	XANPAOZ2100_003363-T1
OG0000125	XANCAGTX0491_009574-T1	XANPAOZ2100_008983-T1
OG0000126	XANCAGTX0491_007327-T1	XANPAOZ2100_006225-T1
OG0000126	XANCAGTX0491_006417-T1	XANPAOZ2100_003079-T1
OG0000127	XANCAGTX0491_007333-T1	XANPAOZ2100_006222-T1
OG0000127	XANCAGTX0491_006732-T1	XANPAOZ2100_002801-T1
OG0000128	XANCAGTX0491_007859-T1	XANPAOZ2100_007634-T1
OG0000128	XANCAGTX0491_006837-T1	XANPAOZ2100_006662-T1
OG0000129	XANCAGTX0491_007763-T1	XANPAOZ2100_006767-T1
OG0000129	XANCAGTX0491_009507-T1	XANPAOZ2100_008915-T1
OG0000130	XANCAGTX0491_007847-T1	XANPAOZ2100_007645-T1, XANPAOZ2100_005642-T1
OG0000131	XANCAGTX0491_008516-T1	XANPAOZ2100_008760-T1
OG0000132	XANCAGTX0491_009274-T1	XANPAOZ2100_005219-T1
OG0000134	XANCAGTX0491_008383-T1, XANCAGTX0491_004303-T1, XANCAGTX0491_009670-T1, XANCAGTX0491_000140-T1	XANPAOZ2100_001124-T1
OG0000135	XANCAGTX0491_000173-T1	XANPAOZ2100_001091-T1, XANPAOZ2100_008703-T1
OG0000136	XANCAGTX0491_000309-T1	XANPAOZ2100_000973-T1
OG0000137	XANCAGTX0491_000375-T2, XANCAGTX0491_000375-T1	XANPAOZ2100_000913-T1
OG0000138	XANCAGTX0491_000413-T1	XANPAOZ2100_000878-T1
OG0000139	XANCAGTX0491_000593-T2, XANCAGTX0491_000593-T1	XANPAOZ2100_000716-T1
OG0000140	XANCAGTX0491_000595-T1, XANCAGTX0491_010040-T1	XANPAOZ2100_000714-T1
OG0000141	XANCAGTX0491_000717-T1, XANCAGTX0491_007995-T1	XANPAOZ2100_007506-T1
OG0000142	XANCAGTX0491_000839-T1, XANCAGTX0491_007421-T1	XANPAOZ2100_003473-T1
OG0000143	XANCAGTX0491_000987-T1	XANPAOZ2100_000361-T1
OG0000144	XANCAGTX0491_006071-T1	XANPAOZ2100_004660-T1
OG0000144	XANCAGTX0491_001016-T1	XANPAOZ2100_000336-T1
